name,department,info,cause,symptom
과민성 대장증후군,소화기내과,자극성 장 증후군은 특별한 기질적 원인이 확인되지 않는 상태에서 만성적으로 지속되는 복통 및 배변 장애를 말합니다.,아직까지 자극성 장 증후군의 원인은 명확히 밝혀지지 않았습니다. 유전적 가족적 요인` 불안 및 스트레스와 같은 정신적 요인` 과음` 자극적인 음식` 불규칙한 식사` 편식 등이 원인으로 여겨집니다. 내장이 과민하여 환자의 대장 내에 가스를 주입하거나` 풍선을 넣어 확장시키면 정상인에서는 반응이 나타나지 않을 정도의 적은 용량에도 심한 통증을 일으킵니다. 일부 자극성 장 증후군 환자는 대장 내 상주균의 구성이 비정상적입니다. 이로 인하여 장관 내 발효가 증가하고` 과다한 가스가 생성되기도 합니다. 또한 정상적으로는 균의 증식이 미미한 소장에서 세균이 과다 증식하는 경우가 있습니다. 이때는 만성 설사나 복통` 가스 등의 증상을 유발할 수 있습니다. 전체 인구의 약 7~15% 정도가 자극성 장 증후군으로 의심할 수 있는 증상을 보인다고 알려져 있습니다.,대장은 정상적으로 하루 1회 정도 배변을 유도하도록 움직입니다. 그러나 대장이 과민해진 경우 대장이 지나치게 움직여 설사가 유발되거나` 이와는 반대로 움직임을 급격히 멈춰 변비를 일으킬 수 있습니다. 즉` 자극성 장 증후군 환자는 설사 또는 변비` 혹은 두 가지 모두가 규칙적으로 반복되며 만성적인 복통에 시달립니다. 심한 복통도 배변 후에는 대부분 호전됩니다.  자극성 장 증후군 환자에게 점액질 변` 복부 팽만이나 잦은 트림` 방귀` 전신 피로` 두통` 불면` 어깨 결림 등의 증상도 나타나지만` 이러한 증상이 수개월 또는 수년간 계속되더라도 몸 상태에 별다른 영향을 미치지 않습니다. 자극성 장 증후군 환자는 상부 위장관 증상으로 속 쓰림` 연하(삼킴) 곤란` 식도 이물감 등을 호소하기도 합니다. 소화기 증상 이외에도 피로감` 비뇨기과적 기능 이상` 산부인과적 증상을 호소하기도 합니다.
관절염,재활의학과`류마티스내과`정형외과`알레르기내과,관절염은 관절 연골이 파괴되고 관절에 염증성 변화가 일어나는 질환을 의미합니다.,관절염에는 여러 종류가 있으며` 그 원인은 서로 다릅니다. 그중에서 가장 흔한 것은 퇴행성 관절염(골관절염)으로` 뼈끝을 감싼 연골이 닳아 발생하며 통증과 부종을 일으키는 질환입니다. 노화` 관절에 생기는 상처나 감염 등이 원인이 되어 발생합니다.,관절염은 부종` 통증` 관절이 뻣뻣한 증상 등을 동반합니다. 관절염은 주로 몸무게가 많이 실리는 무릎` 엉덩이` 척추 관절에서 발생합니다. 그 외에 외상` 골절` 과도한 운동 등이 원인이 되는 경우에는 모든 관절 부위에서도 발생할 수 있습니다. 관절염은 대개 일시적인 경우가 많지만` 때로는 장기적이거나 영구적인 문제를 일으킵니다.
기관지 확장증,호흡기내과,기관지확장증은 폐 속의 큰 기도인 기관지가 과거의 심한 호흡기계 염증으로 손상을 입어 영구적으로 확장됨으로써 객담 배출 기능이 약해진 상태를 의미합니다.,예전에는 백일해와 홍역 같은 어린이 감염이 기관지확장증의 가장 흔한 원인이었습니다. 그러나 현재의 주요 원인은 낭포성 섬유증 같은 선천성 질환이 있는 환자들의 폐에 반복적으로 세균성 감염이 일어나는 것입니다. 폐결핵을 심하게 앓은 후 완치되었으나 그 후유증으로 기관지확장증이 발생하여 계속 객혈하는 경우도 있습니다.,기관지확장증으로 인한 증상은 몇 개월` 수년에 걸쳐 서서히 악화됩니다. 누웠을 때 평소보다 더 심하게 기침합니다. 기침할 때 진한 녹색 또는 노란색의 가래가 많이 나오며` 때에 따라 피가 섞여 나오기도 합니다. 숨을 쉴 때 좋지 않은 냄새가 나기도 하며` 색색거리는 소리가 나고 숨이 가쁩니다. '곤봉지'라고 불리는 손톱 이상 증세 및 손가락 끝부분이 커지는 증상이 나타나기도 합니다. 특히 체중 감소 및 빈혈 등 만성 감염의 합병증을 보입니다.
기흉,호흡기내과`흉부외과,공기가슴증` 즉 기흉은 폐에 생긴 구멍으로 공기가 새면서 늑막강 안에 공기가 차는 질환을 의미합니다. 새는 공기의 양이 증가할수록 폐가 정상 기능을 하지 못합니다. 흉강 안으로 유입되는 공기가 배출되지 않는 경우 양쪽 폐와 심장 사이의 공간과 심장이 한쪽으로 쏠려 응급상황이 발생할 수 있습니다.,기흉은 자발성 기흉과 외상성 기흉으로 구분되며` 원인도 이에 따라 살펴보아야 합니다. 자발성 기흉은 일차성 기흉과 이차성 기흉으로 구분됩니다. 일차성 기흉은 건강한 사람에게 발생하며` 폐의 가장 윗부분 흉막에 있는 작은 공기주머니에 의해 발생합니다. 일차성 기흉의 원인은 분명하지 않지만` 환자의 대부분이 키가 크고 말랐으며 흡연자인 것으로 보아 흡연과 관련이 있다고 여겨집니다. 이차성 기흉은 원래 폐 질환을 앓고 있던 사람에게 발생합니다. 그러한 폐질환의 종류로는 결핵` 악성 종양` 폐섬유증` 만성 폐쇄성 폐 질환` 폐기종 등이 있습니다. 외상성 기흉은 교통사고나 뾰족한 물건에 찔린 상처 등으로 인해 가슴이 다쳐 폐 실질이 손상되어 발생합니다. 폐 조직검사를 시행한 이후 발생하기도 하며` 중환자실에서 인공호흡기 등과 같은 기계에 의해 긴장성 기흉이 발생하기도 합니다. 여성의 경우 월경과 관련하여 발생하기도 합니다. ,기흉의 흔한 증상으로는 흉통과 호흡곤란이 있습니다. 흉통은 대체로 갑자기 시작되며 24시간 정도가 지나면 사라집니다. 사람마다 흉통을 호소하는 방식이 다릅니다. 대개 ‘등 쪽으로 담이 결린다.’라고 하거나 ‘숨 쉴 때마다 가슴이 찌르는 듯이 아프다.’라고 호소합니다.  호흡곤란은 환자의 상태에 따라 양상이 달라집니다. 기존에 앓고 있는 폐 질환이 없는 젊은 환자는 대체로 호흡곤란이 그다지 심하지 않습니다. 기흉이 심한 환자는 호흡이 불편할 정도의 호흡곤란을 느끼기도 하며` 청색증이 동반될 수 있습니다. 소수의 환자는 갑자기 눕거나 누웠다가 앉을 때 흉부에서 ‘덜컹’하면서 무언가가 움직이는 느낌을 호소하기도 합니다. 
길버트증후군,소화기내과,길버트 증후군은 용혈이나 구조적 또는 기능적인 간질환이 없는 상태에서 만성적인 비결합형 빌리루빈의 증가를 특징으로 하는 질환입니다.,유전으로 발생하게 되므로 가족 중에 해당 질환 여부를 확인하는 것이 좋습니다.,대부분 길버트 증후군은 어떠한 증상도 보이지 않습니다. 증상이 있다면 대부분 황달입니다. 
뇌수막염,감염내과`신경과,결핵성 수막염은 결핵균이 뇌척수막을 침입하여 염증을 일으키는 질환입니다. 몸속에 결핵균을 보유한 환자의 결핵균이 뇌를 둘러싼 수막으로 이동하여 발생한다고 알려져 있습니다.대개 신체 면역력을 감소시키는 여러 가지 요인을 보유한 알코올 중독` 당뇨병` 악성 종양 등의 환자에게서 잘 발병합니다. 특히 후천성 면역결핍 증후군 환자가 일생 동안 결핵성 수막염에 감염될 확률이 1/3 정도로 추정됩니다.,바이러스성 뇌수막염은 소아의 경우 대부분 장 바이러스에 의해 발생합니다. 바이러스성 뇌수막염(무균성 뇌수막염)을 유발하는 바이러스의 종류는 매우 다양하지만` 원인 바이러스의 90% 이상은 엔테로바이러스(enterovirus)입니다. 콕사키바이러스(Coxsackievirus)와 에코바이러스(Echovirus)가 대표적인 엔테로바이러스입니다.,뇌수막염의 공통적 증상은 고열과 심한 두통입니다. 뇌염이 뇌 실질을 침범한 경우에는 의식` 성격의 변화와 함께 경련 발작이 나타날 수 있습니다. 증상이 심한 경우에는 혼수상태에 빠질 수 있습니다. 뇌염은 뇌 실질에 변성을 일으켜 후유증으로 인지기능 장애` 뇌전증(간질)을 남길 수 있습니다. 이 질환의 진행 양상은 원인 균주에 따라 다양합니다. 세균성 뇌수막염은 1~2일 내에 급격하게 진행합니다. 바이러스성 뇌수막염은 3~4일` 결핵성 뇌수막염은 1~2주일 정도에 걸쳐 진행합니다. 세균성 뇌수막염은 조기에 적절히 치료하지 않으면 사망하거나 심한 후유증을 남깁니다. 바이러스성 뇌수막염은 정상적인 면역 능력이 있는 사람의 경우 비교적 잘 치료되고` 7~10일 정도면 대부분 완전히 회복됩니다.  
담관염,소화기내과,담관염은 담관계통에 발생하는 급성 또는 만성의 염증질환으로 일반적으로 말하는 담관염은 급성 담관염을 의미하며 심한 경우에는 혈압저하` 의식저하를 동반한 패혈증과 같은 전신의 염증으로 빠르게 진행되어 사망할 수 있으므로 신속한 진단과 치료가 필요한 응급질환입니다.,대부분 담석으로 인해 나타나며` 담석으로 담관이 막히면서 세균이나 진균` 기생충` 바이러스에 담도계가 감염돼 발생합니다. 담석이 없는 경우에도 담도에 악성 혹은 양성 종양이나 기생충 감염이 있거나 양성 협착이 있는 경우에도 담관염은 발생할 수 있습니다.,담도 산통이라 불리는 극심한 복통을 호소하게 되는데 주로 우상복부에 통증을 호소하며 오심` 구토` 소화불량과 같은 증상이 나타나게 됩니다.
담낭염,소화기내과`간담도췌외과`간이식/간담도외과,만성 담낭염은 담낭의 만성적인 염증 질환을 말하며 대부분 담석증 때문에 발생하게 됩니다.,담낭염은 담석이 담낭을 지속적으로 자극하여 급성 또는 아급성의 담낭염이 반복됨으로써 발생합니다. 담석으로 인해 담낭 내벽의 점막이 손상되고` 반복적인 염증 때문에 림프구의 침윤과 섬유화가 진행됩니다. 이로 인해 담낭벽이 두꺼워지고 석회질의 침착이 생기기도 합니다.,담낭염 환자들은 대부분 아무런 증상을 느끼지 않습니다. 간혹 담낭에 의한 통증을 느낄 수 있습니다. 평상시에 전혀 증상이 없다가 갑자기 오른쪽 윗배에 통증이 나타납니다. 통증이 오른쪽 어깻죽지와 등 쪽까지 뻗치면서 아파서 뒹굴 정도로 심하게 나타나는 경우도 있습니다. 과식하거나 지방이 많은 음식을 섭취하면 소화를 잘 시키지 못하며` 윗배의 불쾌감과 팽만감이 생기기도 합니다.
담도암 / 췌장 두부암,소화기내과`종양내과`방사선종양학과`간담도췌외과`간이식ㆍ간담도외과`암병원,담관암은 담관에서 발생하는 암입니다. 담관은 간에서 만들어지는 담즙을 십이지장으로 보내는 관입니다. 췌장은 해부학적으로 두부(머리 부분)` 체부(몸통 부분)` 미부(꼬리 부분)로 나누어집니다. 두부는 담관(담즙의 배출 통로)과 연결되어 있어 두부에 췌장암이 발생하면 담관이 막히면서 황달이 나타날 수 있습니다.,담관암의 원인은 아직 확실히 밝혀지지 않았습니다. 담관 내부를 이루고 있는 담관세포에 생긴 만성적인 염증` 담관 결석` 경화성 담관염` 간디스토마(간흡충증)` 염증성 대장 질환` 담관이 선천적으로 확장되어 생긴 담관 낭종 등과 관련이 있다고 알려져 있습니다. ,담도암의 가장 흔한 증상은 황달입니다. 암에 의해서 담관이 막히면 담즙이 흐를 수 없게 됩니다. 담관이 막힌 부분보다 위쪽에 담즙이 가득 차면 압력이 높아져서 결국 혈관 속으로 거꾸로 들어갑니다. 담관염이 없는 경우 대개 열은 없으며 서서히 폐쇄가 진행됩니다. 따라서 담관암이 어느 정도 진행된 상태에서 황달이 나타나며 통증이 없는 경우가 많습니다. 이때 담즙 속에 함유된 빌리루빈이라는 색소 때문에 피부와 눈이 노랗게 되는 황달이 생깁니다. 담즙이 장으로 넘어가지 못하면 담즙 내 빌리루빈으로 인해 노랗게 보이던 대변 색이 연한 크림색이 되는 회색 변 현상이 나타납니다. 또한 혈액 속의 빌리루빈 농도가 높아지면서 소변으로 일부 배설되어 소변 색이 붉고 짙게 변합니다. 황달이 심한 경우 가려움증이 생길 수 있는데` 이것은 담즙 속의 담즙산이 빌리루빈과 함께 혈관 내로 흡수된 후 피부에 침착되기 때문입니다. 이 외에 비특이적인 증상으로 체중 감소` 피곤함` 식욕 부진` 오심` 구토 등이 나타날 수 있습니다. 우상복부 또는 심와부에 국한되지 않는 뚜렷한 통증이 올 수도 있습니다. 간혹 십이지장이나 대장의 폐색이 동반될 수 있습니다. 담도암(담관세포에서 발생하는 선암종)의 초기에는 황달 증상이 나타나지 않으며` 복통이나 간 기능 검사 이상` 담관염 증상 등이 나타날 수 있어 조기 발견이 매우 어렵습니다. 
당뇨병,가정의학과`내분비내과`노년내과`신ㆍ췌장이식외과,당뇨병은 소변으로 포도당이 배출된다고 하여 이름 붙여진 병입니다. 정상인의 경우 소변으로 당이 넘쳐나지 않을 정도로 혈당이 조절됩니다. 여기에는 췌장에서 분비되는 '인슐린'이라는 호르몬이 중요한 작용을 합니다. 이러한 인슐린이 모자라거나 제대로 일을 못 하는 상태가 되면 혈당이 상승하며` 이로 인해 혈당이 지속적으로 높은 상태가 됩니다. 이러한 상태를 당뇨병이라고 합니다. 우리나라의 당뇨병 유병률은 경제가 발전하고 생활 양식이 서구화됨에 따라 증가하는 추세입니다.,당뇨병의 발생에는 유전과 환경이 중요한 역할을 합니다. 즉` 당뇨병은 이것에 걸리기 쉬운 유전적 체질을 부모로부터 물려받은 사람이 당뇨병을 유발하기 쉬운 환경에 노출될 때 발생할 수 있습니다. 하지만 현재까지 당뇨병을 일으키는 유전자의 이상을 찾을 수 있는 경우는 전체 당뇨병의 1% 미만에 불과합니다. 대부분의 당뇨병에서는 원인 유전자가 명확히 밝혀지지 않았습니다. 당뇨병을 유발할 수 있는 환경 인자로는 고령` 비만` 스트레스` 임신` 감염` 약물(스테로이드제제` 면역억제제` 이뇨제) 등이 있습니다. 환경 인자는 유전 인자와는 달리 본인의 노력으로 어느 정도 피할 수 있습니다. 최근 들어 당뇨병이 급증하는 이유는 유전적인 원인보다는 과도한 음식물 섭취와 운동량 감소로 인한 비만증의 증가 때문으로 여겨집니다. 단것을 많이 먹는다고 당뇨병이 생기지는 않지만` 단것을 많이 먹으면 체중이 늘어날 수 있으며` 비만증이 생기면 당뇨병이 생길 위험성이 증가합니다.,당뇨병에 걸리면 소변으로 포도당이 빠져나가는데` 이때 수분을 같이 끌고 나가기 때문에 소변량이 늘어납니다. 그 결과 몸 안에 수분이 부족하여 심한 갈증을 느끼게 됩니다. 또한 영양분이 몸에서 이용되지 않고 빠져나가므로 피로감을 잘 느낍니다. 또한 잘 먹는데도 불구하고 체중이 감소합니다.  당뇨병의 가장 대표적인 증상을 ‘삼다(三多)’라고 부릅니다. 즉` 다음(多飮` 물을 많이 마심)` 다뇨(多尿` 소변을 많이 봄)` 다식(多食` 많이 먹음)을 말합니다. 그 외 당뇨병의 증상으로는 눈 침침함` 손발 저림` 여성의 경우 질 소양증 등이 나타날 수 있습니다. 하지만 혈당이 많이 높지 않은 경우에는 대부분 특별한 증상을 느끼지 못합니다.`
대동맥 박리,심장내과`심장병원,대동맥은 꽤 튼튼하고 두꺼운 관으로` 가장 안쪽의 내막(intima)` 주로 근육으로 이루어진 중막(media)` 가장 바깥쪽의 외막(adventitia)의 세 겹의 벽으로 구성되어 있습니다. 대동맥 박리는 어떤 원인에 의해 대동맥의 내막이 찢어지면서(intimal tear) 대동맥 내강(lumen) 안에 있는 혈액이 대동맥 중막으로 파급되고` 대동맥 벽이 파급된 혈액에 의해 내층과 외층으로 분리되는 질환을 의미합니다. 대동맥 박리가 시작된 지 2주 이내의 상태를 급성 대동맥 박리라고 하며` 그 이후의 상태를 만성 대동맥 박리라고 합니다.,대동맥 박리의 가장 대표적인 원인은 고혈압입니다. 급성 대동맥 박리 환자의 80% 정도가 고혈압을 가지고 있습니다. 유전적 질환인 Marfan 증후군도 대동맥 박리의 원인입니다. 그 외의 원인으로는 외상` 대동맥 축착` 중층 괴사 등이 있습니다. ,대동맥 박리를 앓는 환자의 90% 정도는 갑자기 앞가슴이나 등 부위에 찢어지는 듯한 심한 통증을 느낍니다. 심장에서 가까운 상행 대동맥 부위에 대동맥 박리가 발생하는 경우 가슴 부위에서 통증이 발생합니다. 다리 쪽으로 향하는 하행 대동맥에서 대동맥 박리가 발생하는 경우 등` 복부에서 통증이 발생합니다.  대동맥 박리에 의한 통증은 매우 극심하기 때문에 보통 통증을 느끼고 응급실로 오게 됩니다. 이외에 실신하기나 숨이 차거나 기침을 하는 경우도 있으며` 불안을 느끼거나 구토를 하기도 합니다. 
대상포진,피부과,대상포진은 수두-대상포진 바이러스(varicella-zoster virus` VZV)가 소아기에 수두를 일으킨 후 신경 주위에 무증상으로 남아 있다가` 수두-대상포진 바이러스에 대한 면역력이 떨어질 때 신경을 타고 나와 피부에 발진을 일으키면서 심한 통증을 유발하는 질환을 의미합니다.,대상포진의 주된 원인은 (세포 매개성) 고령` 면역 저하제 사용` 이식` 에이즈 등으로 인해 면역력이 떨어지는 것입니다. 면역력이 떨어지면` 바이러스가 증식하여 신경을 따라 피부로 다시 나오면서 대상포진이 발생합니다. 암` 에이즈` 항암 치료` 방사선 치료` 이식 후 거부 반응을 막기 위해 면역 억제제를 복용하거나 장기간 스테로이드를 복용하는 경우에 면역력이 감소할 수 있습니다. 이외에 질병` 사고` 스트레스 등으로 몸의 면역력이 약해져 대상포진이 발생하기도 합니다. ,대상포진은 주로 몸통이나 엉덩이 부위에 생깁니다. 그러나 신경이 있는 부위이면 얼굴` 팔` 다리 등 어디에서든 발생할 수 있습니다.  대상포진의 주요 증상은 통증입니다. 통증은 몸의 한쪽 부분에 국한되는 경우가 대부분입니다. 아프거나 따끔거리는 느낌의 통증이 발생합니다. 이러한 증상이 1~3일 정도 이어진 후 붉은 발진이 나타나며` 열이나 두통이 발생합니다. 수포는 2~3주 정도 지속됩니다. 수포가 사라진 후 농포` 가피가 형성되며` 점차 사라집니다.  통증은 병변이 사라진 후에도 지속될 수 있습니다. 이것이 포진 후 신경통입니다. 드물게 수포 없이 통증이 발생하거나 통증 없이 수포가 발생하는 경우도 있습니다. 포진 후 신경통의 통증이 일반적인 진통제에 반응하지 않을 정도로 매우 심한 경우` 신경 차단술 등을 시행할 수도 있습니다. 
대장염,소화기내과,약 1.5m 길이의 대장은 크게 결장과 직장으로 구분됩니다. 결장은 소장과 연결된 부위로부터 맹장` 상행결장` 횡행결장` 하행결장` 에스상결장으로 구분됩니다. 또한 맹장에서 나오는 가늘고 긴 튜브 모양의 충수 돌기가 있으며` 길이는 약 8~10cm입니다. 이 충수 돌기에 생기는 염증을 일반적으로 맹장염이라고 부릅니다.,대장염은 방대한 범위의 질환을 포함하는 개념입니다. 따라서 대장염의 원인은 구체적인 질환에 따라서 다릅니다.,대장염 중에서도 각각의 질환에 따라 증상이 다릅니다. 다만 복통` 설사 등이 공통적으로 나타날 수 있습니다. 또한 발열` 혈변` 구역` 구토가 동반될 수 있습니다.
만성 신부전,신장내과`소아청소년심장과`신췌장이식외과,만성 신부전은 노폐물을 제거하는 신기능이 감소하여 정상으로 회복될 수 없는 단계의 질환을 의미합니다. 즉` 신장이 제 기능을 유지하지 못하는 상태를 말합니다. 남아 있는 신장 기능은 시간이 경과하면서 점차 저하되어 결국은 신 대체 요법(투석이나 신이식술)이 필요한 말기 신 질환으로 진행합니다.,어린이의 경우 성인과 달리 선천성 질환의 빈도가 높습니다. 특히 나이가 어릴수록 선천성일 가능성이 높아서` 5세 미만의 경우 신형성부전` 신이형성` 요로 폐쇄 같은 선천성 신장 기형이 주원인이 됩니다. 5세 이상의 경우 후천성 사구체 질환(사구체신염` 용혈성 요독 증후군) 또는 유전성 신 질환(알포트 증후군` 낭포신) 등이 주된 원인입니다.     성인 만성 신부전의 가장 흔한 원인은 당뇨병으로` 최근 그 비중이 점차 증가하여 50% 정도까지 차지합니다. 그 외에 고혈압` 사구체 신염` 다낭성 신장 등의 순서로 많이 나타납니다.,만성 신부전의 증상은 거의 모든 장기에서 다양하게 나타납니다. 적절한 치료를 시행하지 않으면 위험한 상황을 초래할 수 있습니다. 일반적으로 신경계 증상(감각 및 운동 장애` 피로 증가` 졸음` 의식 장애` 혼수)` 심혈관계 증상(고혈압` 동맥 경화증)` 호흡기계 증상(폐부종` 흉수)` 소화기계 증상(식욕 감퇴` 구역질과 구토` 복수)이 나타날 수 있습니다. 피부의 경우 소양증` 혈액의 경우 빈혈` 출혈 경향을 보입니다. 내분비계의 경우 부갑상선기능항진증` 고환 및 난소 기능 저하가 나타날 수 있고` 면역계의 경우 면역 기능 저하가 나타나는 등 전신 증상이 나타날 수 있습니다.
만성 폐쇄성 폐질환,호흡기내과` 알레르기내과,만성 폐쇄성 폐질환은 '담배를 피우던 사람이 중년 이후부터 서서히 숨이 차는 증상'이 나타나는 질환으로` 나이가 많고 오랜 기간 담배를 피운 사람에게 잘 발생합니다. 이 질환의 특징은 숨이 차는 증상이 서둘러 걷거나 비탈길을 오를 때 심하고` 평상시에 이 증상이 덜한 것입니다. 대표적인 증상으로는 기침` 기침 발작 후 소량의 끈끈한 객담 배출` 지속적으로 진행하면서 점차 악화하는 호흡 곤란` 천명음과 흉부 압박감 등이 있습니다. 이 질환의 약어인 COPD는 '만성 폐쇄성 폐질환(Chronic Obstructive Pulmonary Disease)'의 영문 표기의 앞머리 글자만을 따온 용어입니다. 만성 폐쇄성 폐질환은 서서히 진행됩니다. 처음에는 간혹 가벼운 호흡 곤란과 기침이 나타납니다. 병이 진행되면서 호흡 곤란이 심해집니다. 말기에 이르면 심장 기능도 떨어집니다.,만성 폐쇄성 폐질환의 가장 중요한 발병 원인은 흡연입니다. 비흡연자에 비해 흡연자에게서 호흡기 증상의 발생과 폐 기능의 이상 소견이 더 자주 확인됩니다. 간접 흡연도 원인이 됩니다. 임신 중 흡연은 태아의 폐 성장과 발생에 영향을 미칠 뿐만 아니라 만성 폐쇄성 폐질환의 발생 위험 인자로 작용합니다. 이외의 원인으로는 고령` 작업장 및 주위 환경에서 발생하는 미세먼지` 대기오염` 어린 시절의 호흡기 감염이 있습니다. 우리나라에서 만성 폐쇄성 폐질환은 70세 이상 고령자의 사망 원인 중 네 번째로 흔한 것입니다.,만성 폐쇄성 폐질환의 임상적 특징에는 만성적인 기침` 가래` 호흡 곤란 등이 있습니다. 특히 폐렴과 같은 호흡기 감염이 발생할 경우 평소에 느끼지 못하던 증상이 갑자기 악화하기도 합니다.  ① 경미한 증상 - 힘들게 일하거나 빨리 걸을 때 조금 숨이 차는 것을 느낍니다. - 기침을 많이 하기도 합니다. 가끔은 기침할 때 가래가 나오기도 합니다. ② 일반적인 증상 - 힘들게 일하거나 빨리 걸을 때 종종 숨이 차는 것을 느낍니다. - 기침을 좀 더 많이 하고` 이때 가래도 나옵니다. - 간단한 집안일을 하는 것이 힘들 수 있습니다. ③ 중증의 증상 - 기침을 훨씬 더 많이 하고 가래도 많이 나옵니다. - 어느 때나 숨이 차게 됩니다. - 감기나 폐렴에서 회복하는 데 몇 주가 걸릴 수 있습니다. - 직장에서 일하거나 집안일을 하기 어렵습니다. - 계단을 오르거나 걷는 것이 어렵습니다. - 쉽게 피곤해집니다.
방광암,종양내과`방사선종양학과`비뇨의학과,방광암은 소변을 저장하는 장기인 방광에 악성 세포가 생긴 질환을 의미합니다.,방광암의 원인은 일부만 알려져 있습니다. 방광암 중 하나인 이행세포암의 원인으로는 담배 연기` 주변의 화학물질과 같은 발암물질(암을 유발하는 물질)이 있습니다. 방광암은 특정 산업 화학물질에 대한 노출과 관련이 있습니다. 이러한 노출은 최근 작업장 안정 법률 덕분에 매우 많이 감소하였습니다. 방광암 환자 중 흡연 경험이 있는 사람은 절반에 불과합니다. 하지만 흡연자들은 일반적으로 담배를 피우지 않는 사람보다 2~4배 더 많이 방광암에 걸립니다. 이외에 각종 화학 약품에 대한 직업적인 노출` 커피` 진통제` 감염` 결석` 인공 감미료` 방사선 조사` 항암제 등이 원인이 됩니다. ,방광암의 주된 증상은 다음과 같습니다. 첫째` 소변의 혈액(혈뇨)입니다. 방광암 환자의 80~90% 정도에서는 이 증상이 첫 번째로 나타납니다. 소변이 명백하게 붉은색으로 보일 수 있고` 소변이 녹색으로 변할 수도 있습니다. 둘째` 배뇨 시 발생하는 통증입니다. 흔히 배뇨통이라고 합니다. 셋째` 빈번한 배뇨입니다. 정상보다 더 자주 소변을 보고 싶어지거나` 절박뇨(갑자기 소변이 마려운 느낌)와 같은 증상이 동반됩니다. 넷째` 방광암에 의해 요관 폐색(소변 길이 막힘)이 발생합니다. 이로 인해 측복부 통증` 하지 부종 등이 발생할 수 있습니다. 증상이 더 진행된 경우 골반에 덩어리가 만져지기도 합니다.
베체트병,소화기내과`류마티스내과,베체트 병은 전신의 혈관에 염증이 발생하는 질환 중 하나입니다.,베체트 병의 원인은 아직 확인되지 않았습니다. 베체트 병이 일부 지방에서 많이 발생하는 것으로 보아` 밝혀지지 않은 병원체와 물질이 유전적 소인이 있는 사람의 임파구 및 백혈구에 기능 이상을 초래하여 이 질환을 유발한다고 추정됩니다. 50~60% 정도의 환자에게서 HLA-B51이라는 특수한 유전자가 발견됩니다. 이 유전자가 베체트 병과 관련이 있을 것으로 생각됩니다. ,① 구강 궤양구강 궤양은 베체트 병의 가장 중요하고 흔한 증상입니다. 대부분의 환자에게서 관찰됩니다. 입안의 혀 주위 점막이나 입안 깊은 곳인 후두 주위 등 입안 어느 곳이나 궤양이 발생합니다. 초기에는 궤양이 작은 돌기로 시작합니다. 궤양이 점차 커지면서 점막에도 궤양이 나타납니다. 궤양의 바닥에는 하얗거나 약간 누런 막이 형성되며 심한 통증이 발생합니다. 궤양의 크기는 대개 1cm 미만입니다. 궤양은 두 개 정도인 경우가 가장 많으며` 드물게 10개 이상의 궤양이 나타나기도 합니다. 구강 궤양은 보통 1년에 3회 이상 재발합니다.  ② 성기 궤양남성의 성기 궤양은 음낭에 가장 많이 발생하며` 음경에도 나타납니다. 여성의 성기 궤양은 외음부와 질에서 발생합니다. 대부분 통증이 심하며` 진물이 나올 수 있습니다. 드물게 항문 주위에 궤양이 나타나기도 합니다.  ③ 피부 증상피부 증상은 여러 형태로 나타납니다. 여드름 모양의 피부염` 모낭염` 혈관염이 동반된 구진성 발진 등으로 나타납니다. 결절성 홍반은 주로 하지에 많이 발생합니다. 1~2cm 정도의 크기의 작고 붉은색인 덩어리가 피하에 생성됩니다. 이는 통증을 일으키기도 합니다. 회복 시에는 덩어리가 갈색으로 변하면서 부은 것도 가라앉고 통증도 사라집니다.  ④ 눈의 증상눈의 증상은 실명으로 이어질 위험이 있으므로 매우 주의해야 합니다. 눈의 통증` 눈부심` 눈물` 발적 및 시력 장애가 반복적으로 발생합니다. 눈의 포도막 앞쪽에 발생한 염증은 전방 포도막염이라 합니다. 이 경우 시력 장애는 거의 없지만` 통증이나 발적이 심하게 나타납니다. 눈의 포도막 뒤쪽에 발생한 염증은 후방 포도막염이라 합니다. 이 경우 망막 출혈` 망막 삼출` 망막 혈관의 막힘으로 인한 시력 장애가 발생합니다. 합병증으로 시신경 위축이 발생하여 시력이 상실될 수 있습니다.  ⑤ 관절 증상관절이 반복적으로 붓거나 아픕니다. 관절 증상은 보통 무릎이나 발목에 잘 발생합니다. 베체트 병 관절염의 특징은 관절이 지속적으로 아프지 않고` 일시적 혹은 반복적으로 통증이 발생하는 것입니다. 때로 통증이 오래 계속되는 경우도 있습니다. 베체트 병 관절염은 류마티스 관절염과 달리 관절의 변형을 거의 일으키지 않습니다.  ⑥ 신경계 증상무균성 뇌수막염` 뇌실질 질환이 발생할 수 있습니다. 뇌 동맥류` 혈전증에 의한 중풍 등이 발생할 수 있습니다.  ⑦ 소화기 증상대장 궤양이나 위 궤양이 발생하여 복통이 생기거나 설사를 할 수 있습니다. 궤양이 진행되어 장 천공 및 복막염으로 이어지는 경우도 있습니다. 식도에 궤양이 생기면 연하(삼킴) 곤란이 나타날 수 있습니다.  ⑧ 혈관계 증상동맥보다는 정맥에 혈전이 발생하는 경우가 많습니다. 혈전은 장딴지에 잘 발생합니다. 이 경우 장딴지가 붓고 통증이 발생합니다. 혈전이 심할 경우 복부에 있는 대정맥이 막힐 수 있습니다.
